source_name	model_name	data_name	cstartegy_details	flops_decrease_ratio	score_increase_ratio
C2	Resnet-56	cifar100	[prune_C2, {HP1: 0.1, HP2: 0.5, HP6: 0.9, HP7: 0.66, HP8: 0.33, HP9: l2_weight}]	0.5	-0.032
C2	Resnet-56	cifar100	[prune_C2, {HP1: 0.1, HP2: 0.5, HP6: 0.9, HP7: 0.66, HP8: 0.83, HP9: l2_weight}]	0.5	-0.028
C2	Resnet-56	cifar100	[prune_C2, {HP1: 0.1, HP2: 0.7, HP6: 0.9, HP7: 0.66, HP8: 0, HP9: l2_weight}]	0.7	-0.073
C2	Resnet-56	cifar100	[prune_C2, {HP1: 0.1, HP2: 0.7, HP6: 0.9, HP7: 0.66, HP8: 0.08, HP9: l2_weight}]	0.7	-0.046
C2	Resnet-56	cifar100	[prune_C2, {HP1: 0.1, HP2: 0.7, HP6: 0.9, HP7: 0.66, HP8: 0.33, HP9: l2_weight}]	0.7	-0.053
C2	Resnet-56	cifar100	[prune_C2, {HP1: 0.1, HP2: 0.7, HP6: 0.9, HP7: 0.66, HP8: 0.83, HP9: l2_weight}]	0.7	-0.046
C2	Resnet-56	cifar100	[prune_C2, {HP1: 0.1, HP2: 0.9, HP6: 0.9, HP7: 0.66, HP8: 0, HP9: l2_weight}]	0.9	-0.364
C2	Resnet-56	cifar100	[prune_C2, {HP1: 0.1, HP2: 0.9, HP6: 0.9, HP7: 0.66, HP8: 0.08, HP9: l2_weight}]	0.9	-0.295
C2	Resnet-56	cifar100	[prune_C2, {HP1: 0.1, HP2: 0.9, HP6: 0.9, HP7: 0.66, HP8: 0.33, HP9: l2_weight}]	0.9	-0.308
C2	Resnet-56	cifar100	[prune_C2, {HP1: 0.1, HP2: 0.9, HP6: 0.9, HP7: 0.66, HP8: 0.83, HP9: l2_weight}]	0.9	-0.267
C3	VGG-Net	cifar10	[prune_C3, {HP1: 0.26, HP2: 0.88, HP6: 0.9}]	0.51	0.001
C3	Densenet-40	cifar10	[prune_C3, {HP1: 0.26, HP2: 0.35, HP6: 0.9}]	0.28	0.010
C3	Densenet-40	cifar10	[prune_C3, {HP1: 0.26, HP2: 0.66, HP6: 0.9}]	0.55	0.005
C3	Resnet-164	cifar10	[prune_C3, {HP1: 0.26, HP2: 0.15, HP6: 0.9}]	0.24	0.004
C3	Resnet-164	cifar10	[prune_C3, {HP1: 0.26, HP2: 0.35, HP6: 0.9}]	0.45	0.002
C3	VGG-Net	cifar100	[prune_C3, {HP1: 0.26, HP2: 0.75, HP6: 0.9}]	0.37	0.003
C3	Densenet-40	cifar100	[prune_C3, {HP1: 0.26, HP2: 0.38, HP6: 0.9}]	0.30	0.001
C3	Densenet-40	cifar100	[prune_C3, {HP1: 0.26, HP2: 0.55, HP6: 0.9}]	0.47	-0.005
C3	Resnet-164	cifar100	[prune_C3, {HP1: 0.26, HP2: 0.15, HP6: 0.9}]	0.33	0.007
C3	Resnet-164	cifar100	[prune_C3, {HP1: 0.26, HP2: 0.30, HP6: 0.9}]	0.51	-0.007
C3	VGG-Net	svhn	[prune_C3, {HP1: 0.26, HP2: 0.85, HP6: 0.9}]	0.50	0.001
C3	Densenet-40	svhn	[prune_C3, {HP1: 0.26, HP2: 0.36, HP6: 0.9}]	0.31	0.001
C3	Densenet-40	svhn	[prune_C3, {HP1: 0.26, HP2: 0.57, HP6: 0.9}]	0.50	0.001
C3	Resnet-164	svhn	[prune_C3, {HP1: 0.26, HP2: 0.14, HP6: 0.9}]	0.31	-0.001
C3	Resnet-164	svhn	[prune_C3, {HP1: 0.26, HP2: 0.34, HP6: 0.9}]	0.55	0.000
C3	VGG-Net	imagenet	[prune_C3, {HP1: 0.26, HP2: 0.83, HP6: 0.9}]	0.30	0.000
C4	Resnet-20	cifar10	[prune_C4, {HP2: 0.1, HP10: 0.5, HP11: 1}]	0.15	0.001
C4	Resnet-20	cifar10	[prune_C4, {HP2: 0.2, HP10: 0.5, HP11: 1}]	0.29	-0.010
C4	Resnet-20	cifar10	[prune_C4, {HP2: 0.3, HP10: 0.5, HP11: 1}]	0.15	-0.014
C4	Resnet-32	cifar10	[prune_C4, {HP2: 0.1, HP10: 0.5, HP11: 1}]	0.15	0.006
C4	Resnet-32	cifar10	[prune_C4, {HP2: 0.2, HP10: 0.5, HP11: 1}]	0.29	0.000
C4	Resnet-32	cifar10	[prune_C4, {HP2: 0.3, HP10: 0.5, HP11: 1}]	0.42	-0.006
C4	Resnet-56	cifar10	[prune_C4, {HP2: 0.1, HP10: 0.5, HP11: 1}]	0.15	0.003
C4	Resnet-56	cifar10	[prune_C4, {HP2: 0.2, HP10: 0.5, HP11: 1}]	0.28	-0.001
C4	Resnet-56	cifar10	[prune_C4, {HP2: 0.3, HP10: 0.5, HP11: 1}]	0.41	-0.005
C4	Resnet-56	cifar10	[prune_C4, {HP2: 0.4, HP10: 0.5, HP11: 1}]	0.53	-0.013
C4	Resnet-110	cifar10	[prune_C4, {HP2: 0.1, HP10: 0.5, HP11: 1}]	0.15	0.002
C4	Resnet-110	cifar10	[prune_C4, {HP2: 0.2, HP10: 0.5, HP11: 1}]	0.28	0.003
C4	Resnet-110	cifar10	[prune_C4, {HP2: 0.3, HP10: 0.5, HP11: 1}]	0.41	-0.003
C4	Resnet-18	imagenet	[prune_C4, {HP2: 0.3, HP10: 0.5, HP11: 1}]	0.42	-0.003
C4	Resnet-34	imagenet	[prune_C4, {HP2: 0.3, HP10: 0.5, HP11: 1}]	0.41	-0.002
C4	Resnet-50	imagenet	[prune_C4, {HP2: 0.3, HP10: 0.5, HP11: 1}]	0.42	-0.015
C4	Resnet-101	imagenet	[prune_C4, {HP2: 0.3, HP10: 0.5, HP11: 1}]	0.42	-0.003
C5	Resnet-56	cifar10	[prune_C5, {HP1: 0.05, HP2: 0.3, HP12: P2, HP13: k34, HP14: 0.23, HP15: 1}]	None	-0.009
C5	Resnet-56	cifar10	[prune_C5, {HP1: 0.05, HP2: 0.3, HP12: P2, HP13: l1norm, HP14: 0.23, HP15: 1}]	None	-0.010
C5	Resnet-56	cifar10	[prune_C5, {HP1: 0.05, HP2: 0.3, HP12: P2, HP13: skew_kur, HP14: 0.23, HP15: 1}]	None	-0.010
C5	Resnet-110	cifar10	[prune_C5, {HP1: 0.05, HP2: 0.3, HP12: P2, HP13: k34, HP14: 0.23, HP15: 1}]	None	-0.002
C5	Resnet-110	cifar10	[prune_C5, {HP1: 0.05, HP2: 0.3, HP12: P2, HP13: l1norm, HP14: 0.23, HP15: 1}]	None	-0.005
C5	Resnet-110	cifar10	[prune_C5, {HP1: 0.05, HP2: 0.3, HP12: P2, HP13: skew_kur, HP14: 0.23, HP15: 1}]	None	-0.005
